ipa	pos	trans	eg
HU	noun	one	 
Hi	noun	nine	 
			
Ins	verb	have	 
			
NeZ	noun	four	 
			
\OE mp$^h$	noun	six	 
			
a:N	noun	day	 
aI	noun	week	
aNsaZIm	noun	second falling tide (11:00 pm)	
aNziZIm	noun	second rising tide (5:00 pm)	 aNziZIm xEn\*r aNHemUn\*r Insa
ak$^h$	noun	two	
anHe:i@	noun	nineteen	
anHe:sl	noun	twenty	 
anHeHi	noun	twenty one	 
anHeNeZ	noun	sixteen	 
anHeU	noun	thirteen	 
anHe\OE mp$^h$	noun	eighteen	 
anHea	noun	fourteen	 
anHefUf	noun	twenty three	 
anHeiR$^h$	noun	twenty two	 
anHemUt$^h$	noun	seventeen	 
anHesa	noun	fifteen	 
at$^h$	noun	twelve	 
			
eIN	verb	begin	 
eiA	noun	seven	 
esl	noun	eight	 
			
fUf	noun	eleven	 
			
hU\t{ts}	noun	twenty four	 
			
iR$^h$	noun	ten	 
			
mUt$^h$	noun	five	 
			
sWla	verb	end	 
sa	noun	three	 
sa:t$^h$	noun	thirty six	 
saZIm	noun	falling tide (11:00 am)	 
siZIm	noun	rising tide (5:00 am)	 
			
xEn	noun	hour	
